query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
366,0.4090,364.2905,231.0835,595.3740,BWJAVNUITZYXPB,31157,Trp-bMCA,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
367,0.4851,260.0749,182.0671,442.1420,WDCBUZQBEHTVMH,61015,"3-{[4-(4-chlorophenoxy)phenyl]amino}-1-(3,4,5-trimethoxyphenyl)propan-1-one",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
368,0.6870,9.0577,262.1757,253.1180,NLKUJNGEGZDXGO,23955,Tyr-Ala,,,C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
369,0.4090,567.6204,210.0736,777.6940,XUIIKFGFIJCVMT,62194,L-thyroxine,,,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,,,
370,0.6194,0.0005,183.1125,183.1120,ZYQUJMZZIMIATO,699,"3-ethyl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
371,0.4090,188.0022,271.0918,459.0940,WMBWREPUVVBILR,27463,Epigallocatechin gallate,,,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Catechin gallates,Flavan-3-ols,Flavonoids,Shikimates and Phenylpropanoids
372,0.7340,0.0006,229.1544,229.1550,ZKQOUHVVXABNDG,27369,Pro-Leu,,,CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
373,0.7843,0.0007,175.1073,175.1080,STKYPAFSDFAEPH,27093,Gly-Val,,,CC(C)[C@@H](C(=O)O)NC(=O)CN,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
374,0.6100,519.9836,330.1764,850.1600,BXIPALATIYNHJN,21957,3-METHYLCROTONYL-COA,,,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)C,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
375,0.5901,0.0008,156.0652,156.0660,WRUSVQOKJIDBLP,312087,2-[[(E)-2-methylbut-2-enoyl]amino]acetic acid,,,CC=C(C)C(=O)NCC(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Dipeptides,Small peptides,Amino acids and Peptides
376,0.6878,30.0277,218.1213,248.1490,UEFRDQSMQXDWTO,56968,3-hydroxybutyrylcarnitine,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
377,0.4090,586.2856,262.1644,848.4500,MEYZYGMYMLNUHJ,292531,"(E)-N-[2-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[2-[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]-2-hydroxyethyl]-4,5-dihydroxyoxan-3-yl]-13-methyltetradec-2-enamide",,,CC(C)CCCCCCCCCC=CC(=O)NC1C(C(C(OC1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CC(C3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O)O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,N-acyl-alpha-hexosamines,Pyrimidine nucleosides,Nucleosides,Carbohydrates
378,0.8558,0.0006,121.0646,121.0640,DZGWFCGJZKJUFP,253268,Tyramine,,,NCCC1=CC=C(O)C=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Phenethylamines,Phenylethylamines,Tyrosine alkaloids,Alkaloids
379,0.7552,0.0002,151.0612,151.0610,GOILPRCCOREWQE,65761,"6-methoxypurine, oxamethane",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
380,0.4090,286.2072,175.1268,461.3340,MDSUKZSLOATHMH,25155,Leu-Val,,,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
381,0.3459,118.1061,208.0689,326.1750,CJPQIRJHIZUAQP,22529,"Pesticide4_Benalaxyl_C20H23NO3_Methyl N-(2,6-dimethylphenyl)-N-(phenylacetyl)alaninate",,,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acid esters,,,
382,0.3459,203.1539,158.9611,362.1150,IIBYAHWJQTYFKB,263605,2-[4-[2-[(4-chlorobenzoyl)amino]ethyl]phenoxy]-2-methylpropanoic acid,,,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenoxyacetic acid derivatives,Phenoxyacetic acid derivatives,,,Shikimates and Phenylpropanoids
383,0.4090,195.3489,356.9831,552.3320,FDUSWCPTGFAWMG,31492,LDOPA-bMCA,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
384,0.5281,52.1319,306.0011,358.1330,LQADXQYMUZVVPF,61781,"N-(2,4-dimethylphenyl)-2-(9-ethyl-6-oxohydropurin-8-ylthio)acetamide",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
385,0.3037,18.0175,174.1235,192.1410,SSWZIHDEYOORCA,254399,8-methanesulfinyloctan-1-amine,,,CS(=O)CCCCCCCCN,Organic compounds,Organosulfur compounds,Sulfoxides,,Sulfoxides,,,
386,0.4090,917.5544,186.0556,1103.6100,NFMZRMNYRASNPY,287114,"[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 10-[3-acetamido-6-[[4,5-dihydroxy-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxymethyl]-4,5-dihydroxyoxan-2-yl]oxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",,,CC(=O)NC1C(O)C(O)C(COC2OCC(O)C(O)C2OC3OCC(O)C(O)C3O)OC1OC4CCC5(C)C(CCC6(C)C5CC=C7C8CC(C)(C)CCC8(CCC67C)C(=O)OC9OC(CO)C(O)C(O)C9O)C4(C)C,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene saponins,Oleanane triterpenoids,Triterpenoids,Terpenoids
387,0.6259,0.0001,130.0861,130.0860,YPEWWOUWRRQBAX,262340,"N,N-dimethyl-3-oxobutanamide",,,CN(C)C(=O)CC(C)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,,,Fatty acids
388,0.8180,0.0004,137.0456,137.0460,FDGQSTZJBFJUBT,305790,HYPOXANTHINE,,,OC1=NC=NC2=C1NC=N2,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,Purine alkaloids,Pseudoalkaloids (transamidation),Alkaloids
389,0.7519,0.0002,132.1018,132.1020,NPDBDJFLKKQMCM,251779,"(2S)-2-azaniumyl-3,3-dimethylbutanoate",,,CC(C)(C)[C@@H](C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Valine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
390,0.8373,0.0006,218.1384,218.1390,UFAHZIUFPNSHSL,303650,PROPIONYLCARNITINE,,,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,Fatty acyl carnitines,Fatty esters,Fatty acids
391,0.4090,266.0083,185.0917,451.1000,HPPQENYNPCPJDE,247522,EP_M451,,,N[C@@H](CS[C@@](CN1C=NC=N1)([C@H](O)C1=CC=CC=C1Cl)C1=CC=C(F)C=C1)C(O)=O,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,,Stilbenes,,,
392,0.5514,287.0944,160.0966,447.1910,KKBJVNCSGLJPDR,20704,Thioproperazine dimesylate2347-80-0,,,CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1.CS(=O)(=O)O,Organic compounds,Organoheterocyclic compounds,Benzothiazines,Phenothiazines,Phenothiazines,,,Alkaloids
393,0.3459,236.3781,159.9689,396.3470,TYWACVZIFBZIQZ,251750,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",,,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
394,0.4090,329.1907,284.0193,613.2100,FEOUZTHPXRJPIX,63133,3-[(4-ethylphenyl)(4-hydroxy-2-oxo-8-phenyl(3-hydroquinolyl))methyl]-4-hydroxy -1-phenylhydroquinolin-2-one,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
395,0.4090,351.1214,254.1606,605.2820,ARBSLXZFFDJTKI,70461,"N-[(3,4,5-trimethoxyphenyl)carbonylamino]-N'-[(3,4,5-trimethoxyphenyl)carbonyl amino]nonane-1,9-diamide",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
396,0.5207,42.1171,143.9589,186.0760,FIHPLICEAUNEFV,251855,3-oxo-N-(2-oxooxolan-3-yl)butanamide,,,CC(=O)CC(=O)NC1CCOC1=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,Fatty acyl homoserine lactones,Fatty amides,Fatty acids
397,0.4090,231.3841,271.9159,503.3000,PSVXZQVXSXSQRO,26871,Undecaethylene glycol,,,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,,,
398,0.5546,8.9195,262.0375,253.1180,NLKUJNGEGZDXGO,23955,Tyr-Ala,,,C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
399,0.4090,305.1023,168.0877,473.1900,BXZVVICBKDXVGW,8125,Didanosine,,,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,"Purine 2',3'-dideoxyribonucleosides","Purine 2',3'-dideoxyribonucleosides",Purine nucleos(t)ides,Nucleosides,Carbohydrates
400,0.4090,276.0683,165.9827,442.0510,DHICZUMVFNVYHU,65436,"3-[(4-iodophenyl)amino]-1-(3,4,5-trimethoxyphenyl)propan-1-one",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
401,0.5529,356.2589,133.1051,489.3640,LCPYQJIKPJDLLB,25077,Leu-Leu,,,CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
402,0.4090,254.9980,201.0730,456.0710,AZZMGZXNTDTSME,21204,Cefotaxime sodium salt,,,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)c3csc(N)n3.[Na+],Organic compounds,Organoheterocyclic compounds,Lactams,Beta lactams,Cephalosporin 3'-esters,Cephalosporins,β-lactams,Amino acids and Peptides
403,0.4090,313.1363,261.0977,574.2340,YFGBQHOOROIVKG,237434,Methionine_Enkephalin,,,[H]C([H])(c(c2[H])c(c(c(c2[H])O[H])[H])[H])C([H])(N([H])[H])C(N(C(C(N(C(C(N(C(C([H])([H])c(c1[H])c(c(c(c1[H])[H])[H])[H])([H])C(N(C([H])(C(=O)O[H])C([H])([H])C(SC([H])([H])[H])([H])[H])[H])=O)[H])=O)([H])[H])[H])=O)([H])[H])[H])=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Linear peptides; RiPPs; Tripeptides,Oligopeptides; Small peptides,Amino acids and Peptides
404,0.4090,170.2680,263.0410,433.3090,KRNYOVHEKOBTEF,25826,Val-Val,,,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
405,0.4090,265.1294,212.1026,477.2320,RDOIQAHITMMDAJ,7886,LoperamideHCl,,,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Diphenylmethanes,,,Alkaloids
406,0.2939,311.0329,142.0861,453.1190,PXDNXJSDGQBLKS,56790,foramsulfuron,,,O=C(Nc1nc(OC)cc(OC)n1)NS(=O)(=O)c2cc(NC=O)ccc2C(=O)N(C)C,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas,Pyrimidinyl-2-sulfonylureas,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
407,0.4090,246.0465,234.0845,480.1310,UDDHQXIMPZISOU,60928,"2,9-dimethyl-8-{[5-methyl-2-(3,4,5-trimethoxyphenyl)(1,3-oxazol-4-yl)]methylth io}hydropurin-6-one",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
408,0.3459,131.1123,196.0577,327.1700,WVBWTLRAHFVIAJ,273872,N-succinylnorpheniramine,,,CN(CCC(C1=CC=CC=C1)C1=NC=CC=C1)C(=O)CCC(O)=O,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pheniramines,Pheniramines,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
409,0.4090,356.1678,269.1492,625.3170,OYFVPOABQXXDNO,297916,"4,15,26-trihydroxy-1-oxa-4,9,15,20,26,31-hexazacyclotritriacontane-5,8,16,19,27,30-hexone",,,O=C1CCC(O)=NCCCCCN(O)C(=O)CCC(O)=NCCOCCN(O)C(=O)CCC(O)=NCCCCCN1O,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,,Lysine alkaloids,Alkaloids
410,0.3459,99.0599,195.0761,294.1360,RMOGWMIKYWRTKW,27975,Paclobutrazol,,,CC(C)(C)C(C(CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,,,Alkaloids
411,0.4090,271.9952,170.0558,442.0510,DHICZUMVFNVYHU,65436,"3-[(4-iodophenyl)amino]-1-(3,4,5-trimethoxyphenyl)propan-1-one",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
412,0.4887,258.0195,275.1095,533.1290,OWMHCYFEIJPHFB,25995,6''-O-Malonylglycitin,,,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)O)O)O)O,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,Isoflavonoid O-glycosides,Isoflavones,Isoflavonoids,Shikimates and Phenylpropanoids
413,0.4653,7.9901,343.0629,351.0530,ZIVLQBGWHQHVTC,61671,"2-amino-8-chloro-5-oxo-4-phenyl-4H-pyrano[2,3-b]chromene-3-carbonitrile, chlor ide",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
414,0.4090,427.1830,240.1030,667.2860,ZCDNRPPFBQDQHR,255776,Syrosingopine,,,CCOC(=O)Oc1c(OC)cc(cc1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC,Organic compounds,Alkaloids and derivatives,Yohimbine alkaloids,,Yohimbine alkaloids,Yohimbine-like alkaloids,Tryptophan alkaloids,Alkaloids
415,0.4090,239.0913,210.0757,449.1670,VCKPUUFAIGNJHC,54547,3_hydroxy_DL_kynurenine,,,NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,Aminoacids,Small peptides,Amino acids and Peptides
416,0.7337,0.0007,217.1543,217.1550,KRNYOVHEKOBTEF,26493,Val-Val,,,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
417,0.8611,0.0002,173.0432,173.0430,GOILPRCCOREWQE,65762,"6-methoxypurine, oxamethane",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
418,0.3459,194.1302,166.0498,360.1800,KDIKNBJFJOYFNY,103108,n-homoveratroylhomoveratrylamine,,,COc1ccc(CCNC(=O)Cc2ccc(OC)c(OC)c2)cc1OC,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,Phenylethylamines,Tyrosine alkaloids,Alkaloids
419,0.6061,0.0006,199.1074,199.1080,UBLWFFBGMBRBMC,17448,"(3S,8aS)-3-[(1R)-1-Hydroxyethyl]hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",,,CC(O)C1NC(=O)C2CCCN2C1=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Dipeptides,Small peptides,Amino acids and Peptides
420,0.7669,0.0001,217.1179,217.1180,QOLYAJSZHIJCTO,25340,Thr-Pro,,,C[C@H]([C@@H](C(=O)N1CCC[C@H]1C(=O)O)N)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
421,0.7171,3.9577,233.1127,229.1550,ZKQOUHVVXABNDG,27369,Pro-Leu,,,CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
422,0.4090,926.6038,263.1362,1189.7400,BWJAVNUITZYXPB,31367,Trp-aMCA,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
423,0.2939,242.0566,142.9384,384.9950,RIZMRRKBZQXFOY,265209,diethoxyphosphinothioylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,,,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,Organic compounds,Organic acids and derivatives,Organic dithiophosphoric acids and derivatives,Dithiophosphate O-esters,Dithiophosphate O-esters,,,Fatty acids
424,0.3459,209.1039,162.0581,371.1620,KLBQZWRITKRQQV,268929,Thioridazine,,,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,Organic compounds,Organoheterocyclic compounds,Benzothiazines,Phenothiazines,Phenothiazines,,Tryptophan alkaloids,Alkaloids
425,0.6074,547.5069,184.0401,731.5470,QIBZFHLFHCIUOT,45533,PC(16:0/16:1),,,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Phosphatidylcholines,Glycerophosphocholines,Glycerophospholipids,Fatty acids
426,0.4090,88.9738,380.1842,469.1580,CAHKINHBCWCHCF,56242,N_Acetyl_L_tyrosine,,,CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Tyrosine and derivatives,Dipeptides,Small peptides,Amino acids and Peptides
427,0.3459,142.0723,176.1277,318.2000,IDOWTHOLJBTAFI,257435,Phenmedipham,,,c1c(OC(Nc2cc(ccc2)C)=O)cccc1NC(OC)=O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters,Phenylcarbamic acid esters,Aminoacids,Small peptides,Amino acids and Peptides
428,0.5901,0.0006,196.0966,196.0960,UFYKDFXCZBTLOO,280124,Glucosaminic Acid,,,C(C(C(C(C(C(=O)O)N)O)O)O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
429,0.4090,337.2837,254.1493,591.4330,AKMKWHBDPUOPSK,14336,"methyl 3-hydroxy-2-[[3-hydroxy-2-[[2-[(3-hydroxy-2,4-dimethyltetradecanoyl)amino]-3-methylbutanoyl]amino]butanoyl]amino]propanoate",,,CCCCCCCCCCC(C)C(O)C(C)C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)OC,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Linear peptides; Lipopeptides,Oligopeptides,Amino acids and Peptides
430,0.4090,216.1053,239.0997,455.2050,RCFGIEPQSDGMJJ,19438,"6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole [IIN-based on: CCMSLIB00000848624]",,,COCC(CC1=CC=C(OC)C(OC)=C1)C(COC)CC2=CC3=C(OCO3)C(OC)=C2,Organic compounds,"Lignans, neolignans and related compounds",Dibenzylbutane lignans,,Dibenzylbutane lignans,Dibenzylbutane lignans,Lignans,Shikimates and Phenylpropanoids
431,0.3459,200.9112,175.1268,376.0380,TVLSRXXIMLFWEO,247491,"N-propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]imidazole-1-carboxamide",,,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2,Organic compounds,Benzenoids,Phenol ethers,,Phenol ethers,,,Alkaloids
432,0.4090,261.9788,241.1542,503.1330,NLQOUEKNYYLECS,67399,"11-{4-[(4-bromophenyl)methoxy]phenyl}-3,3-dimethyl-2,3,4-trihydro-5H,10H,11H-b enzo[b]benzo[2,1-f]1,4-diazepin-1-one",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
433,0.5521,339.0557,145.0493,484.1050,CNURKUNYCXCBEK,283054,karakin,,,O=C(CC[N+](=O)[O-])OC[C@H]1O[C@@H](OC(=O)CC[N+](=O)[O-])[C@H](OC(=O)CC[N+](=O)[O-])[C@@H](O)[C@@H]1O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,,,
434,0.4090,529.3250,223.9880,753.3130,HOXFNEPVXKQDSO,18644,"3-methoxy-4-[1-(3,4,5-trimethoxyphenyl)propan-2-yloxy]benzoic acid [IIN-based on: CCMSLIB00000847815]",,,COC1=CC(CC(C)OC2=C(OC)C=C(C=C2)C(O)=O)=CC(OC)=C1OC,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,M-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
435,0.5284,44.0736,175.0564,219.1300,TWVKGYNQQAUNRN,26459,Ile-Ser,,,CC[C@H](C)[C@@H](C(=O)N[C@@H](CO)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
436,0.3459,122.0354,186.0556,308.0910,RWSXRVCMGQZWBV,6764,GLUTATHIONE - 30.0 eV,,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Tripeptides,Small peptides,Amino acids and Peptides
437,0.3459,182.1270,119.0160,301.1430,XMIIGOLPHOKFCH,56421,PhenylPropionicAcid,,,C1=CC=C(C=C1)CCC(=O)O,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Fatty acids; Shikimates and Phenylpropanoids
438,0.3051,115.9221,159.1489,275.0710,CCGPUGMWYLICGL,22231,"Pesticide3_Neburon_C12H16Cl2N2O_Urea, N-butyl-N'-(3,4-dichlorophenyl)-N-methyl-",,,CCCCN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,N-phenylureas,,,
439,0.5686,354.2533,295.1217,649.3750,HXSUIFJHKMZLGO,53993,Goniomedine A,,,CC[C@]1(C2)CC[C@]3([C@@]4(O)CC[N@@+]23CCC1)NC5=C4C=C(C[C@]6(C7=C(N8[C@]([H])(C(OC)=O)[C@@](/C(C9)=C\C)([H])C[C@]%10([H])N9CC6)C=CC=C7)[C@@]8%10O%11)C%11=C5,Organic compounds,Alkaloids and derivatives,Pleiocarpaman alkaloids,,Pleiocarpaman alkaloids,Aspidosperma type; Corynanthe type,Tryptophan alkaloids,Alkaloids
440,0.5924,0.0008,164.0702,164.0710,COLNVLDHVKWLRT,311778,(2S)-2-amino-3-phenylpropanoic acid,,,O=C(O)[C@@H](N)Cc1ccccc1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
441,0.2941,22.1080,321.0810,343.1890,APJYDQYYACXCRM,56644,tryptamine,,,C1=CC=C2C(=C1)C(=CN2)CCN,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Tryptamines and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
442,0.8128,0.0004,154.0496,154.0500,MRBKRZAPGUCWOS,28238,3-AMINO-4-HYDROXYBENZOATE,,,C1=CC(=C(C=C1C(=O)O)N)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Aminoacids; Simple phenolic acids,Small peptides; Phenolic acids (C6-C1),Amino acids and Peptides; Shikimates and Phenylpropanoids
443,0.7341,0.0003,144.0653,144.0650,XLBVNMSMFQMKEY,28339,N-METHYLGLUTAMATE,,,CNC(CCC(=O)O)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
