query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,retention_index,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
168,0.2653,298.6995,275.2005,573.9000,GFTVPKIPSPORMW,Methoxylated and dihydrogenated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)C3)=O)CC(OC)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1720.3080,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
169,0.2653,280.6840,277.2160,557.9000,YGBGKNBEYMZCHH,Hydroxylated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CC(O)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1719.7370,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
170,0.2244,264.6840,277.2160,541.9000,BLFMBWWFYPUMNR,14-bromodiscorhabdin C(+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CCN1)C4=C5C2=[NH+]CCC5=C(Br)N4,1433.8880,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
171,0.2244,87.7749,277.2160,364.9910,SCVNTUZPXIMMLC,"1-(3,4-dichlorophenyl)-2-(4-hydroxyquinazolin-2-ylthio)ethan-1-one",O=C(CSc1nc(O)c2ccccc2n1)c1ccc(Cl)c(Cl)c1,1768.4420,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,,,Alkaloids; Shikimates and Phenylpropanoids
172,0.2244,264.6839,277.2160,541.9000,BLFMBWWFYPUMNR,14-bromodiscorhabdin C(+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CCN1)C4=C5C2=[NH+]CCC5=C(Br)N4,1838.4200,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
173,0.2100,69.8392,278.2478,348.0870,UTUYQGGHTUQHQQ,5-amino-2-(6-hydroxy-3-oxoxanthen-9-yl)benzoic acid,Nc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,1855.5180,,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Xanthenes,Flavones,Flavonoids,Shikimates and Phenylpropanoids
174,0.4090,196.9922,279.1338,476.1260,FHJGOSHIILEXPP,"phenylmethyl 4-(6-chloro-4-oxochromen-3-yl)-2-methyl-5-oxo-1,4,6,7,8-pentahydr oquinoline-3-carboxylate",CC1=C(C(=O)OCc2ccccc2)C(c2coc3ccc(Cl)cc3c2=O)C2=C(CCCC2=O)N1,363.8960,,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Chromones,Chromones,Chromanes,Polyketides
175,0.2939,384.9469,279.1701,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,765.9510,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
176,0.2939,384.9469,279.1701,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,831.2230,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
177,0.2244,131.9965,279.2315,411.2280,QVFHXBLHMAHZQG,(E)-N-(2-(cyclohexylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-(furan-2-ylmethyl)but-2-enamide,C/C=C/C(=O)N(Cc1ccco1)C(C(=O)NC2CCCCC2)c3ccc(OC)cc3,1768.4420,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
178,0.2244,96.0334,279.2316,375.2650,NVVVDUYSYPDLTN,N-butyl-N-(2-(cyclohexylamino)-1-(4-methoxyphenyl)-2-oxoethyl)propionamide,CCCCN(C(=O)CC)C(C(=O)NC1CCCCC1)c2ccc(OC)cc2,1884.7550,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
179,0.2244,134.0124,279.2317,413.2440,ADBORFUDEHAIIL,N-(2-(cyclohexylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-(furan-2-ylmethyl)butyramide,CCCC(=O)N(Cc1ccco1)C(C(=O)NC2CCCCC2)c3ccc(OC)cc3,1929.9120,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
180,0.2244,66.8653,279.2317,346.0970,WUPIACNYWZGDGM,N-(3-methoxyphenyl)-2-(9-methyl-6-oxohydropurin-8-ylthio)acetamide,COc1cccc(N=C(O)CSc2nc3c(O)ncnc3n2C)c1,1678.0940,,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,,,Alkaloids
181,0.2158,91.9653,279.2317,371.1970,WTXUWOXTOQKVAV,N-cyclohexyl-2-(N-(furan-2-ylmethyl)formamido)-2-(4-methoxyphenyl)acetamide,COc3ccc(C(C(=O)NC1CCCCC1)N(C=O)Cc2ccco2)cc3,1898.3900,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
182,0.2939,72.0470,280.1290,352.1760,IAPHXJRHXBQDQJ,"(1R,3`S,4S,6R,7R,17R)-7-hydroxy-3`,6,7-trimethylspiro[2,9-dioxa-14-azatricyclo[9.5.1.0^{14,17}]heptadec-11-ene-4,2`-oxirane]-3,8-dione",C[C@@H]1O[C@@]11C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,443.1800,,Organic compounds,Alkaloids and derivatives,,,Alkaloids and derivatives,Pyrrolizidine alkaloids,Ornithine alkaloids,Alkaloids
183,0.2939,1229.3070,281.1130,1510.4200,STTJBBWRTRUGII,Siomycin_B,O=C(C(NC(C1=CSC([C@]2(CCC(C3=NC(C(N)=O)=CS3)=N[C@@H]2C4=CSC(C(NC(C5=CSC(C(NC6=O)[C@@](C)([C@H](O)C)O)=N5)=O)[C@H](OC(C7=NC8=C(C([C@H](O)C)=C7)C=C[C@@H](N[C@H](C(NC(C(NC(C(N[C@]9(C)[H])=O)=C)=O)=C)=O)C(C)C)[C@@H]8O)=O)C)=N4)NC9=O)=N1)=O)C(O)C)N/C(C%10=N[C@@H]6CS%10)=C\C,494.5490,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,,,
184,0.4090,556.5806,281.1494,837.7300,CRFNGMNYKDXRTN,n-Butyryl coenzyme A lithium salt hydrate,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,327.2580,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
185,0.4090,151.8341,285.1119,436.9460,ZOCSXAVNDGMNBV,FIPRONIL,Clc1cc(C(F)(F)F)cc(Cl)c1N2C(N)=C(S(=O)C(F)(F)F)C(C#N)=N2,1421.2720,,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles,,,
186,0.4090,156.9161,285.1119,442.0280,MRNXGEXTEVMGJH,"ethyl 2-amino-4-(3-bromophenyl)-5-oxo-4H-pyrano[3,2-c]chromene-3-carboxylate",CCOC(=O)C1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1cccc(Br)c1,904.5880,,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Pyranocoumarins,Angular pyranocoumarins,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
187,0.4090,536.4961,288.1439,824.6400,QAQREVBBADEHPA,propionyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,617.7040,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
188,0.2939,59.8249,288.2531,348.0780,RLTHKSGARBYDSC,2-(4-hydroxyquinazolin-2-ylthio)-N-(4-methylphenyl)acetamide,Cc1ccc(NC(=O)CSc2nc(O)c3ccccc3n2)cc1,1175.7810,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Phenazine alkaloids,Anthranilic acid alkaloids,Alkaloids
189,0.2939,301.1261,288.9639,590.0900,WFPZSXYXPSUOPY,ADENOSINE-5'-DIPHOSPHOGLUCOSE - 50.0 eV,NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1,490.0200,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine nucleotide sugars,Purine nucleotide sugars,Purine nucleos(t)ides,Nucleosides,Carbohydrates
190,0.6203,0.0002,291.0972,291.0970,OVEAWSPZRGBTSS,Malonyltryptophan,O=C(O)CC(=O)NC(C(=O)O)CC2=CNC=1C=CC=CC=12,823.5810,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Dipeptides,Small peptides,Amino acids and Peptides
191,0.2506,282.7048,291.1952,573.9000,GFTVPKIPSPORMW,Methoxylated and dihydrogenated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)C3)=O)CC(OC)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1394.8550,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
192,0.2939,266.6684,291.2316,557.9000,YGBGKNBEYMZCHH,Hydroxylated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CC(O)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1799.4780,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
193,0.3307,622.0304,293.1606,915.1910,GGOOLELBJVBBGP,phenylalanyl CoA,O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)C(N)CC4=CC=CC=C4,498.1920,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
194,0.2653,61.9912,293.2108,355.2020,QOXWAQKWJLGXBF,N-benzyl-2-(N-butylformamido)-2-(4-methoxyphenyl)acetamide,CCCCN(C=O)C(C(=O)NCc1ccccc1)c2ccc(OC)cc2,1602.6670,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
195,0.2244,61.9911,293.2109,355.2020,QOXWAQKWJLGXBF,N-benzyl-2-(N-butylformamido)-2-(4-methoxyphenyl)acetamide,CCCCN(C=O)C(C(=O)NCc1ccccc1)c2ccc(OC)cc2,1640.5830,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
196,0.2399,61.9911,293.2109,355.2020,QOXWAQKWJLGXBF,N-benzyl-2-(N-butylformamido)-2-(4-methoxyphenyl)acetamide,CCCCN(C=O)C(C(=O)NCc1ccccc1)c2ccc(OC)cc2,1665.6270,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
197,0.2570,54.0221,293.2109,347.2330,WMAZDHCPWWJDBG,2-(N-butylformamido)-N-cyclohexyl-2-(4-methoxyphenyl)acetamide,CCCCN(C=O)C(C(=O)NC1CCCCC1)c2ccc(OC)cc2,1718.6060,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
198,0.4090,513.5290,295.0811,808.6100,ZSLZBFCDCINBPY,Acetyl CoA,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,975.6880,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
199,0.6237,0.0004,295.1286,295.1290,IAOZJIPTCAWIRG,3-amino-4-[(1-benzyl-2-keto-2-methoxy-ethyl)amino]-4-keto-butyric acid,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,602.2190,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
200,0.4090,529.4750,295.1650,824.6400,QAQREVBBADEHPA,propionyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,591.1990,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
201,0.2100,193.9035,295.2265,489.1300,GLACGTLACKLUJX,Agnuside,O=C(OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12)C4=CC=C(O)C=C4,1651.2750,,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Iridoid O-glycosides,Iridoids monoterpenoids,Monoterpenoids,Terpenoids
202,0.2244,17.0095,295.2265,312.2360,RDNLAULGBSQZMP,Biperiden hydrochloride1235-82-1,OC(CCN1CCCCC1)(C2C[C@H]3C[C@@H]2C=C3)c4ccccc4.Cl,1724.2980,,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Aralkylamines,Piperidine alkaloids,Lysine alkaloids,Alkaloids
203,0.2244,118.0175,295.2265,413.2440,ADBORFUDEHAIIL,N-(2-(cyclohexylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-(furan-2-ylmethyl)butyramide,CCCC(=O)N(Cc1ccco1)C(C(=O)NC2CCCCC2)c3ccc(OC)cc3,1666.8290,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
204,0.2244,116.0385,295.2265,411.2650,HLIHLMZQNAZFBR,N-(2-(benzylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-butylpentanamide,CCCCC(=O)N(CCCC)C(C(=O)NCc1ccccc1)c2ccc(OC)cc2,1767.3090,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
205,0.2100,89.8579,297.2421,387.1000,HAWSQZCWOQZXHI,10-hydroxycamptothecin,O=C1OCC=2C(=O)N3C(=CC2C1(O)CC)C=4N=C5C=CC(O)=CC5=CC4C3,1428.9230,,Organic compounds,Alkaloids and derivatives,Camptothecins,,Camptothecins,Pyrroloquinoline alkaloids,Tryptophan alkaloids,Alkaloids
206,0.2939,97.9907,297.2423,395.2330,YWKFZTFSYLWFKD,(E)-N-(2-(benzylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-butylbut-2-enamide,C/C=C/C(=O)N(CCCC)C(C(=O)NCc1ccccc1)c2ccc(OC)cc2,1678.0940,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
207,0.8758,0.0004,298.0966,298.0970,WUUGFSXJNOTRMR,5'-METHYLTHIOADENOSINE,CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O,453.1300,,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,5'-deoxy-5'-thionucleosides,Purine nucleos(t)ides,Nucleosides,Carbohydrates
208,0.4090,198.0127,298.1283,496.1410,CWMYPKVXRSEIJP,"8-{[2-(2-ethoxyphenyl)-5-methyl(1,3-oxazol-4-yl)]methylthio}-9-(4-methylphenyl )hydropurin-6-one",CCOc1ccccc1-c1nc(CSc2nc3c(O)ncnc3n2-c2ccc(C)cc2)c(C)o1,318.4230,,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Phenylimidazoles,,,Alkaloids
209,0.4090,364.0246,300.0924,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,453.1300,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
210,0.2939,363.8275,300.2895,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,1939.0860,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
211,0.4090,316.0532,301.0738,617.1270,DVGGLGXQSFURLP,tiliroside,O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,836.5460,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid 3-O-p-coumaroyl glycosides,Flavonols,Flavonoids,Shikimates and Phenylpropanoids
212,0.4090,547.1804,302.1596,849.3400,BXIPALATIYNHJN,Dimethylacryloyl-CoA,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)C,790.8160,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
213,0.2941,65.8219,303.0861,368.9080,UTUCNPNGMNEWGE,8-bromo-6-chloro-2-(2-chlorophenyl)chromen-4-one,O=c1cc(-c2ccccc2Cl)oc2c(Br)cc(Cl)cc12,1169.6250,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavones,Flavones,Flavonoids,Shikimates and Phenylpropanoids
214,0.2939,234.6735,307.2265,541.9000,BLFMBWWFYPUMNR,14-bromodiscorhabdin C(+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CCN1)C4=C5C2=[NH+]CCC5=C(Br)N4,1720.8690,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
215,0.2244,96.0694,307.2266,403.2960,BXNNUSQOCFEPRR,N-butyl-N-(2-(cyclohexylamino)-1-(4-methoxyphenyl)-2-oxoethyl)pentanamide,CCCCC(=O)N(CCCC)C(C(=O)NC1CCCCC1)c2ccc(OC)cc2,1799.4780,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
216,0.2244,86.0271,309.2059,395.2330,YWKFZTFSYLWFKD,(E)-N-(2-(benzylamino)-1-(4-methoxyphenyl)-2-oxoethyl)-N-butylbut-2-enamide,C/C=C/C(=O)N(CCCC)C(C(=O)NCc1ccccc1)c2ccc(OC)cc2,1594.6460,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
217,0.2233,248.6579,309.2421,557.9000,YGBGKNBEYMZCHH,Hydroxylated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CC(O)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1768.4420,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
218,0.2244,232.6078,309.2422,541.8500,NKKVXFCUOMIOAF,Discorhabdin,O=C1C2=C(C3(CC(Br)C(C(Br)=C3)=O)C=CN2)C4=[NH+]CCC5=C(Br)NC1=C45,1842.2910,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
219,0.2560,248.6578,309.2422,557.9000,YGBGKNBEYMZCHH,Hydroxylated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CC(O)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1651.2750,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
220,0.2939,37.0022,311.0758,348.0780,RLTHKSGARBYDSC,2-(4-hydroxyquinazolin-2-ylthio)-N-(4-methylphenyl)acetamide,Cc1ccc(NC(=O)CSc2nc(O)c3ccccc3n2)cc1,458.2060,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Phenazine alkaloids,Anthranilic acid alkaloids,Alkaloids
221,0.3139,187.0132,311.0758,498.0890,LJEOYORKUIBZCG,"oxolan-2-ylmethyl 4-(5-bromo-2-methoxyphenyl)-2-methyl-5-oxo-1,4,6,7,8-pentahy droquinoline-3-carboxylate",COc1ccc(Br)cc1C1C(C(=O)OCC2CCCO2)=C(C)NC2=C1C(=O)CCC2,558.7180,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,Polyketides
222,0.4090,186.9655,311.1235,498.0890,LJEOYORKUIBZCG,"oxolan-2-ylmethyl 4-(5-bromo-2-methoxyphenyl)-2-methyl-5-oxo-1,4,6,7,8-pentahy droquinoline-3-carboxylate",COc1ccc(Br)cc1C1C(C(=O)OCC2CCCO2)=C(C)NC2=C1C(=O)CCC2,341.4380,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,Polyketides
223,0.4090,198.9456,311.1274,510.0730,FLXHIPAXCVCVIT,ethyl 6-bromo-5-methoxy-1-phenyl-2-[(phenylmethylthio)methyl]indole-3-carboxyl ate,CCOC(=O)c1c(CSCc2ccccc2)n(-c2ccccc2)c2cc(Br)c(OC)cc12,811.4940,,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives,,,Alkaloids
224,0.4090,300.9485,311.1275,612.0760,SEDHYIFVHXUKLC,"2-methoxyethyl 4-(3-bromo-5-ethoxy-4-hydroxyphenyl)-7-(4-chlorophenyl)-2-methy l-5-oxo-1,4,6,7,8-pentahydroquinoline-3-carboxylate",CCOc1cc(C2C(C(=O)OCCOC)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)cc(Br)c1O,975.0150,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,
225,0.4090,125.8185,311.1275,436.9460,ZOCSXAVNDGMNBV,FIPRONIL,Clc1cc(C(F)(F)F)cc(Cl)c1N2C(N)=C(S(=O)C(F)(F)F)C(C#N)=N2,1185.5850,,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles,,,
226,0.4090,134.9855,311.1275,446.1130,MFRFBIVUFSNZPZ,2-methoxyethyl 1-(3-chloro-4-methylphenyl)-5-hydroxy-2-methylbenzo[g]indole-3- carboxylate,COCCOC(=O)c1c(C)n(-c2ccc(C)c(Cl)c2)c2c1cc(O)c1ccccc12,884.5400,,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives,,Tryptophan alkaloids,Alkaloids
227,0.2100,176.1588,311.2212,487.3800,RZZPDXZPRHQOCG,Cyscho,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,1464.0280,,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Pyrimidine ribonucleoside diphosphates,,,
228,0.2939,11.0525,311.2215,322.2740,HBJXRRXWHSHZPU,"(9Z,12Z,15Z)-N-(2-hydroxyethyl)octadeca-9,12,15-trienamide",OCCNC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,1602.6670,,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,N-acylethanolamines,N-acyl ethanolamines (endocannabinoids),Fatty amides,Fatty acids
